order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD109093,2025-01-01T00:21:00,Mumbai,R0577,Fast Food,311,40,1
ORD126442,2025-01-01T00:54:00,Mumbai,R0515,Chinese,134,35,0
ORD129516,2025-01-01T01:36:00,Mumbai,R0702,Fast Food,665,30,0
ORD136694,2025-01-01T01:47:00,Bangalore,R0466,Italian,205,31,0
ORD143513,2025-01-01T01:56:00,Pune,R0435,North Indian,236,38,0
ORD147227,2025-01-01T02:37:00,Delhi,R0432,Street Food,334,31,1
ORD105832,2025-01-01T02:54:00,Hyderabad,R0275,Desserts,158,20,0
ORD129955,2025-01-01T02:56:00,Chennai,R0039,Biryani,184,28,0
ORD144835,2025-01-01T04:11:00,Mumbai,R0402,Chinese,267,60,0
ORD105022,2025-01-01T04:20:00,Delhi,R0302,Fast Food,611,29,0
ORD135397,2025-01-01T04:43:00,Bangalore,R0061,North Indian,195,21,1
ORD108469,2025-01-01T05:19:00,Chennai,R0678,Continental,50,38,0
ORD138043,2025-01-01T05:44:00,Chennai,R0065,North Indian,160,29,0
ORD115198,2025-01-01T05:52:00,Pune,R0319,Chinese,186,38,0
ORD106581,2025-01-01T05:54:00,Bangalore,R0400,Biryani,348,25,0
ORD133680,2025-01-01T06:15:00,Delhi,R0443,North Indian,489,20,0
ORD137930,2025-01-01T06:20:00,Mumbai,R0465,Biryani,166,37,0
ORD101365,2025-01-01T06:23:00,Chennai,R0383,Fast Food,460,27,0
ORD126700,2025-01-01T06:24:00,Delhi,R0445,Fast Food,206,27,1
ORD119485,2025-01-01T06:53:00,Pune,R0171,Fast Food,183,32,0
ORD119063,2025-01-01T07:02:00,Delhi,R0223,Street Food,231,32,0
ORD134000,2025-01-01T07:02:00,Delhi,R0484,Biryani,392,27,1
ORD113049,2025-01-01T07:18:00,Hyderabad,R0328,Fast Food,268,47,0
ORD107421,2025-01-01T07:26:00,Hyderabad,R0195,Chinese,186,24,0
ORD131025,2025-01-01T07:30:00,Bangalore,R0503,North Indian,238,45,1
ORD135116,2025-01-01T07:46:00,Delhi,R0708,Desserts,97,21,1
ORD145505,2025-01-01T08:00:00,Pune,R0475,South Indian,302,22,0
ORD139230,2025-01-01T08:00:00,Mumbai,R0535,Chinese,283,51,0
ORD126934,2025-01-01T08:10:00,Mumbai,R0598,Chinese,266,30,1
ORD121282,2025-01-01T08:12:00,Mumbai,R0100,North Indian,580,42,1
ORD101968,2025-01-01T08:14:00,Hyderabad,R0676,Fast Food,187,25,0
ORD119554,2025-01-01T08:16:00,Kolkata,R0353,Continental,396,42,0
ORD131219,2025-01-01T08:24:00,Bangalore,R0075,Street Food,298,66,0
ORD114286,2025-01-01T08:25:00,Pune,R0694,Fast Food,509,32,0
ORD131143,2025-01-01T08:34:00,Hyderabad,R0249,Desserts,314,66,0
ORD107413,2025-01-01T08:41:00,Bangalore,R0047,Desserts,517,33,0
ORD114405,2025-01-01T08:42:00,Bangalore,R0770,Fast Food,187,31,0
ORD120136,2025-01-01T08:57:00,Kolkata,R0692,Italian,230,31,1
ORD133867,2025-01-01T08:57:00,Delhi,R0195,Desserts,631,41,0
ORD136028,2025-01-01T09:01:00,Delhi,R0621,Fast Food,238,39,0
ORD141774,2025-01-01T09:01:00,Mumbai,R0052,Fast Food,159,33,0
ORD115539,2025-01-01T09:03:00,Hyderabad,R0086,North Indian,160,44,0
ORD112017,2025-01-01T09:04:00,Delhi,R0103,Street Food,193,40,0
ORD116924,2025-01-01T09:04:00,Delhi,R0797,Italian,359,42,0
ORD130686,2025-01-01T09:08:00,Mumbai,R0114,Fast Food,639,26,0
ORD126163,2025-01-01T09:10:00,Mumbai,R0367,Desserts,137,46,0
ORD116567,2025-01-01T09:15:00,Hyderabad,R0510,Street Food,324,38,0
ORD144420,2025-01-01T09:20:00,Hyderabad,R0604,Continental,256,29,1
ORD116451,2025-01-01T09:23:00,Bangalore,R0246,Biryani,313,30,1
ORD141112,2025-01-01T09:24:00,Pune,R0606,North Indian,101,43,0
ORD149327,2025-01-01T09:24:00,Kolkata,R0364,Chinese,384,37,0
ORD138421,2025-01-01T09:34:00,Kolkata,R0730,Chinese,426,32,0
ORD141568,2025-01-01T09:34:00,Bangalore,R0309,North Indian,183,63,0
ORD120328,2025-01-01T09:35:00,Kolkata,R0788,Desserts,138,28,1
ORD139828,2025-01-01T09:39:00,Mumbai,R0278,Continental,129,35,1
ORD107682,2025-01-01T09:42:00,Mumbai,R0541,Fast Food,281,38,0
ORD111954,2025-01-01T09:43:00,Mumbai,R0722,Fast Food,200,25,0
ORD129571,2025-01-01T09:45:00,Pune,R0297,Italian,435,49,0
ORD134044,2025-01-01T09:45:00,Mumbai,R0003,Biryani,560,59,0
ORD101766,2025-01-01T09:45:00,Delhi,R0552,Chinese,166,31,0
ORD101964,2025-01-01T09:46:00,Mumbai,R0088,Street Food,361,50,0
ORD111378,2025-01-01T09:46:00,Bangalore,R0761,Italian,215,37,1
ORD118783,2025-01-01T09:50:00,Bangalore,R0231,Desserts,360,47,0
ORD126178,2025-01-01T09:53:00,Bangalore,R0204,Chinese,670,37,0
ORD118120,2025-01-01T09:54:00,Bangalore,R0203,North Indian,230,36,1
ORD119820,2025-01-01T09:57:00,Kolkata,R0727,Street Food,362,22,0
ORD143529,2025-01-01T09:58:00,Kolkata,R0796,Continental,128,30,0
ORD139023,2025-01-01T10:03:00,Kolkata,R0296,Italian,294,44,0
ORD101312,2025-01-01T10:04:00,Delhi,R0050,North Indian,492,25,0
